0,1,label2,summary_sentences
"Proceedings of the 2015 Conference on Empirical Methods in Natural Language Processing, pages 2094–2099, Lisbon, Portugal, 17-21 September 2015. c©2015 Association for Computational Linguistics.",text,[0],[0]
"Neural network translation models, which learn mappings over real-valued vector representations in high-dimensional space, have recently achieved large gains in translation accuracy (Hu et al., 2014; Devlin et al., 2014; Sundermeyer et al., 2014; Auli et al., 2013; Schwenk, 2012; Sutskever et al., 2014; Bahdanau et al., 2015).
",1 Introduction,[0],[0]
"Notably, Devlin et al. (2014) proposed a neural network joint model (NNJM), which augments the n-gram neural network language model (NNLM) with an m-word source context window, as shown in Figure 1a.",1 Introduction,[0],[0]
"While this model is effective, the computation cost of using it in a large-vocabulary SMT task is quite expensive, as probabilities need to be normalized over the entire vocabulary.",1 Introduction,[0],[0]
"To solve this problem, Devlin et al. (2014) presented a technique to train the NNJM to be selfnormalized and avoided the expensive normalization cost during decoding.",1 Introduction,[0],[0]
"However, they also
note that this self-normalization technique sacrifices neural network accuracy, and the training process for the self-normalized neural network is very slow, as with standard maximum likelihood estimation (MLE).
",1 Introduction,[0],[0]
"To remedy the problem of long training times in the context of NNLMs, Vaswani et al. (2013) used a method called noise contrastive estimation (NCE).",1 Introduction,[0],[0]
"Compared with MLE, NCE does not require repeated summations over the whole vocabulary and performs nonlinear logistic regression to discriminate between the observed data and artificially generated noise.
",1 Introduction,[0],[0]
"This paper proposes an alternative framework of binarized NNJMs (BNNJM), which are similar to the NNJM, but use the current target word not as the output, but as the input of the neural network, estimating whether the target word under examination is correct or not, as shown in Figure 1b.",1 Introduction,[0],[0]
"Because the BNNJM uses the current target word as input, the information about the current target word can be combined with the context word information and processed in the hidden layers.
",1 Introduction,[0],[0]
"The BNNJM learns a simple binary classifier, given the context and target words, therefore it can be trained by MLE very efficiently.",1 Introduction,[0],[0]
"“Incorrect” target words for the BNNJM can be generated in the same way as NCE generates noise
2094
for the NNJM.",1 Introduction,[0],[0]
We present a novel noise distribution based on translation probabilities to train the NNJM and the BNNJM efficiently.,1 Introduction,[0],[0]
Let T = t|T |1 be a translation of S = s |S| 1 .,2 Neural Network Joint Model,[0],[0]
"The NNJM (Devlin et al., 2014) defines the following probability,
P (T |S) = ∏|T | i=1",2 Neural Network Joint Model,[0],[0]
"P ( ti|sai+(m−1)/2ai−(m−1)/2, t i−1 i−n+1 ) (1) where target word ti is affiliated with source word sai .",2 Neural Network Joint Model,[0],[0]
Affiliation ai is derived from the word alignments using heuristics1.,2 Neural Network Joint Model,[0],[0]
