0,1,label2,summary_sentences
"Proceedings of the 2015 Conference on Empirical Methods in Natural Language Processing, pages 2081–2087, Lisbon, Portugal, 17-21 September 2015. c©2015 Association for Computational Linguistics.",text,[0],[0]
"When translating between two languages that differ in their degree of morphological synthesis, syntactic structures in one language may be realized as morphological structures in the other.",1 Introduction,[0],[0]
"Machine Translation models that treat words as atomic units have poor learning capabilities for such translation units, and morphological segmentations are commonly used (Koehn and Knight, 2003).",1 Introduction,[0],[0]
"Like words in a sentence, the morphemes of a word have a hierarchical structure that is relevant in translation.",1 Introduction,[0],[0]
"For instance, compounds in Germanic languages are head-final, and the head is the segment that determines agreement within the noun phrase, and is relevant for selectional preferences of verbs.
",1 Introduction,[0],[0]
"1. sie erheben eine Hand|gepäck|gebühr.
",1 Introduction,[0],[0]
"they charge a carry-on bag fee.
",1 Introduction,[0],[0]
"In example 1, agreement in case, number and gender is enforced between eine ’a’ and Gebühr ’fee’, and selectional preference between erheben ’charge’ and Gebühr ’fee’.",1 Introduction,[0],[0]
"A flat representation, as is common in phrase-based SMT, does not encode these relationships, but a dependency representation does so through dependency links.
",1 Introduction,[0],[0]
"In this paper, we investigate a dependency representation of morphologically segmented words for SMT.",1 Introduction,[0],[0]
"Our representation encodes syntactic and morphological structure jointly, allowing a single model to learn the translation of both.",1 Introduction,[0],[0]
"Specifically, we work with a string-to-tree model with GHKM-style rules (Galley et al., 2006), and a relational dependency language model (Sennrich, 2015).",1 Introduction,[0],[0]
"We focus on the representation of German syntax and morphology in an English-to-German system, and two morphologically complex word classes in German that are challenging for translation, compounds and particle verbs.
",1 Introduction,[0],[0]
"German makes heavy use of compounding, and compounds such as Abwasserbehandlungsanlage ‘waste water treatment plant’ are translated into complex noun phrases in other languages, such as French station d’épuration des eaux résiduaires.
",1 Introduction,[0],[0]
German particle verbs are difficult to model because their surface realization differs depending on the finiteness of the verb and the type of clause.,1 Introduction,[0],[0]
"Verb particles are separated from the finite verb in
2081
main clauses, but prefixed to the verb in subordinated clauses, or when the verb is non-finite.",1 Introduction,[0],[0]
"The infinitive marker zu ’to’, which is normally a premodifying particle, appears as an infix in particle verbs.",1 Introduction,[0],[0]
Table 1 shows an illustrating example.,1 Introduction,[0],[0]
"The main focus of research on compound splitting has been on the splitting algorithm (Popovic et al., 2006; Nießen and Ney, 2000; Weller et al., 2014; Macherey et al., 2011).",2 A Dependency Representation of Compounds and Particle Verbs,[0],[0]
"Our focus is not the splitting algorithm, but the representation of compounds.",2 A Dependency Representation of Compounds and Particle Verbs,[0],[0]
"For splitting, we use an approach similar to (Fritzinger and Fraser, 2010), with segmentation candidates identified by a finite-state morphology (Schmid et al., 2004; Sennrich and Kunz, 2014), and statistical evidence from the training corpus to select a split (Koehn and Knight, 2003).
",2 A Dependency Representation of Compounds and Particle Verbs,[0],[0]
"German compounds are head-final, and premodifiers can be added recursively.",2 A Dependency Representation of Compounds and Particle Verbs,[0],[0]
Compounds are structurally ambiguous if there is more than one modifier.,2 A Dependency Representation of Compounds and Particle Verbs,[0],[0]
Consider the distinction between (Stadtteil)projekt (literally: ’(city part) project)’) and Stadt(teilprojekt) ’city sub-project’.,2 A Dependency Representation of Compounds and Particle Verbs,[0],[0]
"We opt for a left-branching representation by default.1 We also split linking elements, and represent them as a postmodifier of each non-final segment, including the empty string ("" "").",2 A Dependency Representation of Compounds and Particle Verbs,[0],[0]
"We use the same representation for noun compounds and adjective compounds.
",2 A Dependency Representation of Compounds and Particle Verbs,[0],[0]
An example of the original2 and the proposed compound representation is shown in Figure 1.,2 A Dependency Representation of Compounds and Particle Verbs,[0],[0]
"Importantly, the head of the compound is also the parent of the determiners and attributes in the noun phrase, which makes a bigram dependency language model sufficient to enforce agreement.",2 A Dependency Representation of Compounds and Particle Verbs,[0],[0]
"Since we model morphosyntactic agreement within the main translation step, and not in a separate step as in (Fraser et al., 2012), we deem it useful that inflection is marked at the head of the compound.",2 A Dependency Representation of Compounds and Particle Verbs,[0],[0]
"Consequently, we do not split off inflectional or derivational morphemes.
",2 A Dependency Representation of Compounds and Particle Verbs,[0],[0]
"For German particle verbs, we define a common representation that abstracts away from the various surface realizations (see Table 1).",2 A Dependency Representation of Compounds and Particle Verbs,[0],[0]
"Separated
1We follow prior work in leaving frequent words or subwords unsplit, which has a disambiguating effect.",2 A Dependency Representation of Compounds and Particle Verbs,[0],[0]
