0,1,label2,summary_sentences
We consider learning a classifier from logged data.,1. Introduction,[1.0],['We consider learning a classifier from logged data.']
"Here, the learner has access to a logged labeled dataset that has been collected according to a known pre-determined policy, and his goal is to learn a classifier that predicts the labels accurately over the entire population, not just conditioned on the logging policy.
",1. Introduction,[0],[0]
This problem arises frequently in many natural settings.,1. Introduction,[0],[0]
An example is predicting the efficacy of a treatment as a function of patient characteristics based on observed data.,1. Introduction,[1.0],['An example is predicting the efficacy of a treatment as a function of patient characteristics based on observed data.']
Doctors may assign the treatment to patients based on some predetermined rule; recording these patient outcomes produces a logged dataset where outcomes are observed conditioned on the doctors’ assignment.,1. Introduction,[1.0],['Doctors may assign the treatment to patients based on some predetermined rule; recording these patient outcomes produces a logged dataset where outcomes are observed conditioned on the doctors’ assignment.']
"A second example is recidivism prediction, where the goal is to predict whether a convict will re-offend.",1. Introduction,[1.0],"['A second example is recidivism prediction, where the goal is to predict whether a convict will re-offend.']"
"Judges use their own predefined policy to grant parole, and if parole is granted, then an outcome (reoffense or not) is observed.",1. Introduction,[1.0],"['Judges use their own predefined policy to grant parole, and if parole is granted, then an outcome (reoffense or not) is observed.']"
"Thus the observed data records outcomes conditioned on the judges’ parole policy,
1University of California, San Diego.",1. Introduction,[0],[0]
Correspondence to:,1. Introduction,[0],[0]
"Songbai Yan <yansongbai@eng.ucsd.edu>.
",1. Introduction,[0],[0]
"Proceedings of the 35 th International Conference on Machine Learning, Stockholm, Sweden, PMLR 80, 2018.",1. Introduction,[0],[0]
"Copyright 2018 by the author(s).
while the learner’s goal is to learn a predictor over the entire population.
",1. Introduction,[0],[0]
A major challenge in learning from logged data is that the logging policy may leave large areas of the data distribution under-explored.,1. Introduction,[0],[0]
"Consequently, empirical risk minimization (ERM) on the logged data leads to classifiers that may be highly suboptimal on the population.",1. Introduction,[1.0],"['Consequently, empirical risk minimization (ERM) on the logged data leads to classifiers that may be highly suboptimal on the population.']"
"When the logging policy is known, a second option is to use a weighted ERM, that reweighs each observed labeled data point to ensure that it reflects the underlying population.",1. Introduction,[0],[0]
"However, this may lead to sample inefficiency if the logging policy does not adequately explore essential regions of the population.",1. Introduction,[0],[0]
"A final approach, typically used in clinical trials, is controlled random experimentation – essentially, ignore the logged data, and record outcomes for fresh examples drawn from the population.",1. Introduction,[1.0],"['A final approach, typically used in clinical trials, is controlled random experimentation – essentially, ignore the logged data, and record outcomes for fresh examples drawn from the population.']"
