0,1,label2,summary_sentences
We consider learning a classifier from logged data.,1. Introduction,[0],[0]
"Here, the learner has access to a logged labeled dataset that has been collected according to a known pre-determined policy, and his goal is to learn a classifier that predicts the labels accurately over the entire population, not just conditioned on the logging policy.
",1. Introduction,[0],[0]
This problem arises frequently in many natural settings.,1. Introduction,[0],[0]
An example is predicting the efficacy of a treatment as a function of patient characteristics based on observed data.,1. Introduction,[0],[0]
Doctors may assign the treatment to patients based on some predetermined rule; recording these patient outcomes produces a logged dataset where outcomes are observed conditioned on the doctors’ assignment.,1. Introduction,[0],[0]
"A second example is recidivism prediction, where the goal is to predict whether a convict will re-offend.",1. Introduction,[0],[0]
"Judges use their own predefined policy to grant parole, and if parole is granted, then an outcome (reoffense or not) is observed.",1. Introduction,[0],[0]
"Thus the observed data records outcomes conditioned on the judges’ parole policy,
1University of California, San Diego.",1. Introduction,[0],[0]
Correspondence to:,1. Introduction,[0],[0]
"Songbai Yan <yansongbai@eng.ucsd.edu>.
",1. Introduction,[0],[0]
"Proceedings of the 35 th International Conference on Machine Learning, Stockholm, Sweden, PMLR 80, 2018.",1. Introduction,[0],[0]
"Copyright 2018 by the author(s).
while the learner’s goal is to learn a predictor over the entire population.
",1. Introduction,[0],[0]
A major challenge in learning from logged data is that the logging policy may leave large areas of the data distribution under-explored.,1. Introduction,[0],[0]
"Consequently, empirical risk minimization (ERM) on the logged data leads to classifiers that may be highly suboptimal on the population.",1. Introduction,[0],[0]
"When the logging policy is known, a second option is to use a weighted ERM, that reweighs each observed labeled data point to ensure that it reflects the underlying population.",1. Introduction,[0],[0]
"However, this may lead to sample inefficiency if the logging policy does not adequately explore essential regions of the population.",1. Introduction,[0],[0]
"A final approach, typically used in clinical trials, is controlled random experimentation – essentially, ignore the logged data, and record outcomes for fresh examples drawn from the population.",1. Introduction,[0],[0]
"This approach is expensive due to the high cost of trials, and wasteful since it ignores the observed data.
",1. Introduction,[0],[0]
"Motivated by these challenges, we propose active learning to combine logged data with a small amount of strategically chosen labeled data that can be used to correct the bias in the logging policy.",1. Introduction,[0],[0]
"This solution has the potential to achieve the best of both worlds by limiting experimentation to achieve higher sample efficiency, and by making the most of the logged data.",1. Introduction,[0],[0]
"Specifically, we assume that in addition to the logged data, the learner has some additional unlabeled data that he can selectively ask an annotator to label.",1. Introduction,[0],[0]
"The learner’s goal is to learn a highly accurate classifier over the entire population by using a combination of the logged data and with as few label queries to the annotator as possible.
",1. Introduction,[0],[0]
How can we utilize logged data for better active learning?,1. Introduction,[0],[0]
This problem has not been studied to the best of our knowledge.,1. Introduction,[0],[0]
A naive approach is to use the logged data to come up with a warm start and then do standard active learning.,1. Introduction,[0],[0]
"In this work, we show that we can do even better.",1. Introduction,[0],[0]
"In addition to the warm start, we show how to use multiple importance sampling estimators to utilize the logged data more efficiently.",1. Introduction,[0],[0]
"Additionally, we introduce a novel debiasing policy that selectively avoids label queries for those examples that are highly represented in the logged data.
",1. Introduction,[0],[0]
"Combining these three approaches, we provide a new algorithm.",1. Introduction,[0],[0]
"We prove that our algorithm is statistically consistent, and has a lower label requirement than simple active learning that uses the logged data as a warm start.",1. Introduction,[0],[0]
"Finally, we
evaluate our algorithm experimentally on various datasets and logging policies.",1. Introduction,[0],[0]
Our experiments show that the performance of our method is either the best or close to the best for a variety of datasets and logging policies.,1. Introduction,[0],[0]
This confirms that active learning to combine logged data with carefully chosen labeled data may indeed yield performance gains.,1. Introduction,[0],[0]
"Instances are drawn from an instance space X and a label space Y = {0, 1}.",2.1. Problem Setup,[0],[0]
There is an underlying data distribution D over X × Y that describes the population.,2.1. Problem Setup,[0],[0]
There is a hypothesis spaceH ⊂ YX .,2.1. Problem Setup,[0],[0]
"For simplicity, we assumeH is a finite set, but our results can be generalized to VC-classes by standard arguments (Vapnik & Chervonenkis, 1971).
",2.1. Problem Setup,[0],[0]
"The learning algorithm has access to two sources of data: logged data, and online data.",2.1. Problem Setup,[0],[0]
"The logged data are generated from m examples {(Xt, Yt)}mt=1 drawn i.i.d.",2.1. Problem Setup,[0],[0]
"from D, and",2.1. Problem Setup,[0],[0]
a logging policy Q0 : X,2.1. Problem Setup,[0],[0]
