0,1,label2,summary_sentences
"Proceedings of the 55th Annual Meeting of the Association for Computational Linguistics, pages 1–10 Vancouver, Canada, July 30 - August 4, 2017. c©2017 Association for Computational Linguistics
https://doi.org/10.18653/v1/P17-1001",text,[0],[0]
Multi-task learning is an effective approach to improve the performance of a single task with the help of other related tasks.,1 Introduction,[0],[0]
"Recently, neuralbased models for multi-task learning have become very popular, ranging from computer vision (Misra et al., 2016; Zhang et al., 2014) to natural language processing (Collobert and Weston, 2008; Luong et al., 2015), since they provide a convenient way of combining information from multiple tasks.
",1 Introduction,[0],[0]
"However, most existing work on multi-task learning (Liu et al., 2016c,b) attempts to divide the features of different tasks into private and shared spaces, merely based on whether parameters of
some components should be shared.",1 Introduction,[0],[0]
"As shown in Figure 1-(a), the general shared-private model introduces two feature spaces for any task: one is used to store task-dependent features, the other is used to capture shared features.",1 Introduction,[0],[0]
"The major limitation of this framework is that the shared feature space could contain some unnecessary taskspecific features, while some sharable features could also be mixed in private space, suffering from feature redundancy.
",1 Introduction,[0],[0]
"Taking the following two sentences as examples, which are extracted from two different sentiment classification tasks: Movie reviews and Baby products reviews.
",1 Introduction,[0],[0]
The infantile cart is simple and easy to use.,1 Introduction,[0],[0]
"This kind of humour is infantile and boring.
",1 Introduction,[0],[0]
The word “infantile” indicates negative sentiment in Movie task while it is neutral in Baby task.,1 Introduction,[0],[0]
"However, the general shared-private model could place the task-specific word “infantile” in a shared space, leaving potential hazards for other tasks.",1 Introduction,[0],[0]
"Additionally, the capacity of shared space could also be wasted by some unnecessary features.
",1 Introduction,[0],[0]
"To address this problem, in this paper we propose an adversarial multi-task framework, in which the shared and private feature spaces are in-
1
herently disjoint by introducing orthogonality constraints.",1 Introduction,[0],[0]
"Specifically, we design a generic sharedprivate learning framework to model the text sequence.",1 Introduction,[0],[0]
"To prevent the shared and private latent feature spaces from interfering with each other, we introduce two strategies: adversarial training and orthogonality constraints.",1 Introduction,[0],[0]
"The adversarial training is used to ensure that the shared feature space simply contains common and task-invariant information, while the orthogonality constraint is used to eliminate redundant features from the private and shared spaces.
",1 Introduction,[0],[0]
"The contributions of this paper can be summarized as follows.
1.",1 Introduction,[0],[0]
"Proposed model divides the task-specific and shared space in a more precise way, rather than roughly sharing parameters.",1 Introduction,[0],[0]
2.,1 Introduction,[0],[0]
"We extend the original binary adversarial training to multi-class, which not only enables multiple tasks to be jointly trained, but allows us to utilize unlabeled data.",1 Introduction,[0],[0]
3.,1 Introduction,[0],[0]
"We can condense the shared knowledge among multiple tasks into an off-the-shelf neural layer, which can be easily transferred to new tasks.",1 Introduction,[0],[0]
"There are many neural sentence models, which can be used for text modelling, involving recurrent neural networks (Sutskever et al., 2014; Chung et al., 2014; Liu et al., 2015a), convolutional neural networks (Collobert et al., 2011; Kalchbrenner et al., 2014), and recursive neural networks (Socher et al., 2013).",2 Recurrent Models for Text Classification,[0],[0]
"Here we adopt recurrent neural network with long short-term memory (LSTM) due to their superior performance in various NLP tasks (Liu et al., 2016a; Lin et al., 2017).
",2 Recurrent Models for Text Classification,[0],[0]
"Long Short-term Memory Long short-term memory network (LSTM) (Hochreiter and Schmidhuber, 1997) is a type of recurrent neural network (RNN) (Elman, 1990), and specifically addresses the issue of learning long-term dependencies.",2 Recurrent Models for Text Classification,[0],[0]
"While there are numerous LSTM variants, here we use the LSTM architecture used by (Jozefowicz et al., 2015), which is similar to the architecture of (Graves, 2013) but without peep-hole connections.
",2 Recurrent Models for Text Classification,[0],[0]
