0,1,label2,summary_sentences
"Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing, pages 1829–1838 Brussels, Belgium, October 31 - November 4, 2018. c©2018 Association for Computational Linguistics
1829",text,[0],[0]
"Networks are ubiquitous, with prominent examples including social networks (e.g., Facebook, Twitter) or citation networks of research papers (e.g., arXiv).",1 Introduction,[0],[0]
"When analyzing data from these real-world networks, traditional methods often represent vertices (nodes) as one-hot representations (containing the connectivity information of each vertex with respect to all other vertices), usually suffering from issues related to the inherent sparsity of large-scale networks.",1 Introduction,[0],[0]
"This results in models that are not able to fully capture the relationships between vertices of the network (Perozzi et al., 2014; Tu et al., 2016).",1 Introduction,[0],[0]
"Alternatively, network embedding (i.e., network representation learning) has been considered, representing each vertex of a network with a low-dimensional vector that preserves information on its similarity rel-
ative to other vertices.",1 Introduction,[0],[0]
"This approach has attracted considerable attention in recent years (Tang and Liu, 2009; Perozzi et al., 2014; Tang et al., 2015; Grover and Leskovec, 2016; Wang et al., 2016; Chen et al., 2016; Wang et al., 2017a; Zhang et al., 2018).
",1 Introduction,[0],[0]
"Traditional network embedding approaches focus primarily on learning representations of vertices that preserve local structure, as well as internal structural properties of the network.",1 Introduction,[0],[0]
"For instance, Isomap (Tenenbaum et al., 2000), LINE (Tang et al., 2015), and Grarep (Cao et al., 2015) were proposed to preserve first-, second-, and higher-order proximity between nodes, respectively.",1 Introduction,[0],[0]
"DeepWalk (Perozzi et al., 2014), which learns vertex representations from random-walk sequences, similarly, only takes into account structural information of the network.",1 Introduction,[0],[0]
"However, in realworld networks, vertices usually contain rich textual information (e.g., user profiles in Facebook, paper abstracts in arXiv, user-generated content on Twitter, etc.), which may be leveraged effectively for learning more informative embeddings.
",1 Introduction,[0],[0]
"To address this opportunity, Yang et al. (2015) proposed text-associated DeepWalk, to incorporate textual information into the vectorial representations of vertices (embeddings).",1 Introduction,[0],[0]
"Sun et al. (2016) employed deep recurrent neural networks to integrate the information from vertex-
associated text into network representations.",1 Introduction,[0],[0]
"Further, Tu et al. (2017) proposed to more effectively model the semantic relationships between vertices using a mutual attention mechanism.
",1 Introduction,[0],[0]
"Although these methods have demonstrated performance gains over structure-only network embeddings, the relationship between text sequences for a pair of vertices is accounted for solely by comparing their sentence embeddings.",1 Introduction,[0],[0]
"However, as shown in Figure 1, to assess the similarity between two research papers, a more effective strategy would compare and align (via localweighting) individual important words (keywords) within a pair of abstracts, while information from other words (e.g., stop words) that tend to be less relevant can be effectively ignored (downweighted).",1 Introduction,[0],[0]
"This alignment mechanism is difficult to accomplish in models where text sequences are first embedded into a common space and then compared in pairs (He and Lin, 2016; Parikh et al., 2016; Wang and Jiang, 2017; Wang et al., 2017b; Shen et al., 2018a).
",1 Introduction,[0],[0]
We propose to learn a semantic-aware Network Embedding (NE) that incorporates wordlevel alignment features abstracted from text sequences associated with vertex pairs.,1 Introduction,[0],[0]
"Given a pair of sentences, our model first aligns each word within one sentence with keywords from the other sentence (adaptively up-weighted via an attention mechanism), producing a set of fine-grained matching vectors.",1 Introduction,[0],[0]
"These features are then accumulated via a simple but efficient aggregation function, obtaining the final representation for the sentence.",1 Introduction,[0],[0]
"As a result, the word-by-word alignment features (as illustrated in Figure 1) are explicitly and effectively captured by our model.",1 Introduction,[0],[0]
"Further, the learned network embeddings under our framework are adaptive to the specific (local) vertices that are considered, and thus are context-aware and especially suitable for downstream tasks, such as link prediction.",1 Introduction,[0],[0]
"Moreover, since the word-by-word matching procedure introduced here is highly parallelizable and does not require any complex encoding networks, such as Long Short-Term Memory (LSTM) or Convolutional Neural Networks (CNNs), our framework requires significantly less time for training, which is attractive for large-scale network applications.
",1 Introduction,[0],[0]
"We evaluate our approach on three real-world datasets spanning distinct network-embeddingbased applications: link prediction, vertex classi-
fication and visualization.",1 Introduction,[0],[0]
"We show that the proposed word-by-word alignment mechanism efficiently incorporates textual information into the network embedding, and consistently exhibits superior performance relative to several competitive baselines.",1 Introduction,[0],[0]
Analyses considering the extracted word-by-word pairs further validate the effectiveness of the proposed framework.,1 Introduction,[0],[0]
"A network (graph) is defined as G = {V ,E}, where V and E denote the set of N vertices (nodes) and edges, respectively, where elements of E are two-element subsets of V .",2.1 Problem Definition,[0],[0]
"Here we only consider undirected networks, however, our approach (introduced below) can be readily extended to the directed case.",2.1 Problem Definition,[0],[0]
"We also define W , the symmetric RN×N matrix whose elements,wij , denote the weights associated with edges in V , and T , the set of text sequences assigned to each vertex.",2.1 Problem Definition,[0],[0]
"Edges and weights contain the structural information of the network, while the text can be used to characterize the semantic properties of each vertex.",2.1 Problem Definition,[0],[0]
"Given network G, with the network embedding we seek to encode each vertex into a low-dimensional vector h (with dimension much smaller than N ), while preserving structural and semantic features of G.",2.1 Problem Definition,[0],[0]
"To incorporate both structural and semantic information into the network embeddings, we specify two types of (latent) embeddings: (i) hs, the structural embedding; and (ii) ht, the textual embedding.",2.2 Framework Overview,[0],[0]
"Specifically, each vertex in G is encoded into a low-dimensional embedding h =",2.2 Framework Overview,[0],[0]
[hs;ht].,2.2 Framework Overview,[0],[0]
"To learn these embeddings, we specify an objective that leverages the information from both W and T , denoted as
L = ∑ e∈E Lstruct(e) + Ltext(e) + Ljoint(e) , (1)
where Lstruct, Ltext and Ljoint denote structure, text, and joint structure-text training losses, respectively.",2.2 Framework Overview,[0],[0]
"For a vertex pair {vi, vj} weighted by wij , Lstruct(vi, vj) in (1) is defined as (Tang et al., 2015)
Lstruct(vi, vj) = wij log p(his|hjs) , (2)
where p(his|hjs) denotes the conditional probability between structural embeddings for vertices {vi, vj}.",2.2 Framework Overview,[0],[0]
"To leverage the textual information in T , similar text-specific and joint structure-text training objectives are also defined
Ltext(vi, vj) = wijα1 log p(hit|h j t ) , (3)
Ljoint(vi, vj) =",2.2 Framework Overview,[0],[0]
wijα2 log p(hit|hjs) (4) + wijα3 log p(h,2.2 Framework Overview,[0],[0]
"i s|h j t ) , (5)
where p(hit|h j t ) and p(h i t|hjs) (or p(his|h j t ))",2.2 Framework Overview,[0],[0]
"denote the conditional probability for a pair of text embeddings and text embedding given structure embedding (or vice versa), respectively, for vertices {vi, vj}.",2.2 Framework Overview,[0],[0]
"Further, α1, α2 and α3 are hyperparameters that balance the impact of the different training-loss components.",2.2 Framework Overview,[0],[0]
"Note that structural embeddings, hs, are treated directly as parameters, while the text embeddings ht are learned based on the text sequences associated with vertices.
",2.2 Framework Overview,[0],[0]
"For all conditional probability terms, we follow Tang et al. (2015) and consider the second-order proximity between vertex pairs.",2.2 Framework Overview,[0],[0]
"Thus, for vertices {vi, vj}, the probability of generating hi conditioned on hj may be written as
p(hi|hj) = exp
( hj T hi )
∑N k=1 exp ( hj T hk ) .",2.2 Framework Overview,[0],[0]
"(6)
Note that (6) can be applied to both structural and text embeddings in (2) and (3).
",2.2 Framework Overview,[0],[0]
"Inspired by Tu et al. (2017), we further assume that vertices in the network play different roles depending on the vertex with which they interact.",2.2 Framework Overview,[0],[0]
"Thus, for a given vertex, the text embedding, ht, is adaptive (specific) to the vertex it is being conditioned on.",2.2 Framework Overview,[0],[0]
"This type of contextaware textual embedding has demonstrated superior performance relative to context-free embeddings (Tu et al., 2017).",2.2 Framework Overview,[0],[0]
"In the following two sections, we describe our strategy for encoding the text sequence associated with an edge into its adaptive textual embedding, via word-by-context and word-by-word alignments.",2.2 Framework Overview,[0],[0]
"We first introduce our base model, which reweights the importance of individual words within a text sequence in the context of the edge being considered.",2.3 Word-by-Context Alignment,[0],[0]
"Consider text sequences associated with two vertices connected by an edge, de-
noted ta and tb and contained in T .",2.3 Word-by-Context Alignment,[0],[0]
"Text sequences ta and tb are of lengths Ma and Mb, respectively, and are represented by Xa ∈ Rd×Ma",2.3 Word-by-Context Alignment,[0],[0]
"and Xb ∈ Rd×Mb , respectively, where d is the dimension of the word embedding.",2.3 Word-by-Context Alignment,[0],[0]
"Further, x(i)a denotes the embedding of the i-th word in sequence ta.
",2.3 Word-by-Context Alignment,[0],[0]
Our goal is to encode text sequences ta and tb into counterpart-aware vectorial representations ha and hb.,2.3 Word-by-Context Alignment,[0],[0]
"Thus, while inferring the adaptive textual embedding for sentence ta, we propose reweighting the importance of each word in ta to explicitly account for its alignment with sentence tb.",2.3 Word-by-Context Alignment,[0],[0]
"The weight αi, corresponding to the i-th word in ta, is generated as:
αi = exp(tanh(W1cb",2.3 Word-by-Context Alignment,[0],[0]
