0,1,label2,summary_sentences
"Given a graph G = (V,E) on n vertices with adjacency matrix A ∈ {0, 1}n×n, the problem of graph embedding is to map the vertices of G to some d-dimensional vector space S in such a way that geometry in S reflects the topology of G. For example, we may ask that vertices with high conductance in G be assigned to nearby vectors in S.",1. Introduction,[0],[0]
"This is a special case of the problem of dimensionality reduction, well-studied in machine learning and related disciplines (van der Maaten et al., 2009).",1. Introduction,[0],[0]
"When applied to graph data, each vertex in G is described by an n-dimensional binary
1Department of Statistics, University of Michigan, USA.",1. Introduction,[0],[0]
"2School of Mathematics and Physics, University of Queensland, Australia.",1. Introduction,[0],[0]
"3International Computer Science Institute, Berkeley, USA.",1. Introduction,[0],[0]
"4Department of Statistics, University of California at Berkeley, USA.",1. Introduction,[0],[0]
"5Department of Applied Mathematics and Statistics, Johns Hopkins University, USA.",1. Introduction,[0],[0]
"Correspondence to: Keith Levin <klevin@umich.edu>.
",1. Introduction,[0],[0]
"Proceedings of the 35 th International Conference on Machine Learning, Stockholm, Sweden, PMLR 80, 2018.",1. Introduction,[0],[0]
"Copyright 2018 by the author(s).
vector, namely its corresponding column (or row) in adjacency matrix A ∈ {0, 1}n×n, and we wish to associate with each vertex v ∈ V a lower-dimensional representation, say xv ∈ S.",1. Introduction,[0.9652128527707186],"['When applied to graph data, each vertex in G is described by an n-dimensional binary vector, namely its corresponding column (or row) in adjacency matrix A ∈ {0, 1}n×n, and we wish to associate with each vertex v ∈ V a lower-dimensional representation, say xv ∈ S. The two most commonly-used approaches for graph embeddings are the graph Laplacian embedding and its variants (Belkin & Niyogi, 2003; Coifman & Lafon, 2006) and the adjacency spectral embedding (ASE, Sussman et al., 2012).']"
"The two most commonly-used approaches for graph embeddings are the graph Laplacian embedding and its variants (Belkin & Niyogi, 2003; Coifman & Lafon, 2006) and the adjacency spectral embedding (ASE, Sussman et al., 2012).",1. Introduction,[0],[0]
"Both of these embedding procedures produce low-dimensional representations of the vertices in a graph G, and the question of “which embedding is preferable?” is dependent on the downstream task.",1. Introduction,[0],[0]
"Indeed, one can show that neither embedding dominates the other for the purposes of vertex classification; see, for example, Section 4.3 of Tang & Priebe (to appear).",1. Introduction,[0],[0]
