0,1,label2,summary_sentences
"Proceedings of NAACL-HLT 2018, pages 1907–1918 New Orleans, Louisiana, June 1 - 6, 2018. c©2018 Association for Computational Linguistics",text,[0],[0]
Deep Learning (DL) has radically changed the rules of the game in NLP by dramatically boosting performance figures in almost all applications areas.,1 Introduction,[0],[0]
"Yet, one of the major premises of highperformance DL engines is their dependence on huge amounts of training data.",1 Introduction,[0],[0]
"As such, DL seems ill-suited for areas where training data are scarce, such as in the field of word emotion induction.
",1 Introduction,[0],[0]
"We will use the terms polarity and emotion here to distinguish between research focusing on “semantic orientation” (Hatzivassiloglou and McKeown, 1997) (the positiveness or negativeness) of affective states, on the one hand, and approaches which provide predictions based on some of the many more elaborated representational systems for affective states, on the other hand.
",1 Introduction,[0],[0]
"Originally, research activities focused on polarity alone.",1 Introduction,[0],[0]
"In the meantime, a shift towards more expressive representation models for emotion can be observed that heavily draws inspirations from psychological theory, e.g., Basic Emotions (Ekman, 1992) or the Valence-Arousal-Dominance model (Bradley and Lang, 1994).
",1 Introduction,[0],[0]
"Though this change turned out to be really beneficial for sentiment analysis in NLP, a large variety of mutually incompatible encodings schemes for emotion and, consequently, annotation formats for emotion metadata in corpora have emerged that hinder the interoperability of these resources and their subsequent reuse, e.g., on the basis of alignments or mergers (Buechel and Hahn, 2017).
",1 Introduction,[0.9525674634272601],"['By minimizing the semantic distance between dispatch-01 and Trans- port Person using their dense vectors, VSt and VSy respectively, we jointly map the representations of event mention and event types into a shared semantic space, where each mention is closest to its annotated type.']"
"As an alternative way of dealing with thus unwarranted heterogeneity, we here examine the potential of multi-task learning (MTL; Caruana (1997)) for word-level emotion prediction.",1 Introduction,[0],[0]
"In MTL for neural networks, a single model is fitted to solve multiple, independent tasks (in our case, to predict different emotional dimensions) which typically results in learning more robust and meaningful intermediate representations.",1 Introduction,[0],[0]
"MTL has been shown to greatly decrease the risk of overfitting (Baxter, 1997), work well for various NLP tasks (Setiawan et al., 2015; Liu et al., 2015; Søgaard and Goldberg, 2016; Cummins et al., 2016; Liu et al., 2017; Peng et al., 2017), and practically increases sample size, thus making it a natural choice for small-sized data sets typically found in the area of word emotion induction.
1907
After a discussion of related work in Section 2, we will introduce several reference methods and describe our proposed deep MTL model in Section 3.",1 Introduction,[0],[0]
"In our experiments (Section 4), we will first validate our claim that MTL is superior to single-task learning for word emotion induction.",1 Introduction,[0],[0]
"After that, we will provide a large-scale evaluation of our model featuring 9 typologically diverse languages and multiple publicly available embedding models for a total of 15 conditions.",1 Introduction,[0],[0]
"Our MTL model surpasses the current state-of-the-art for each of them, and even performs competitive relative to human reliability.",1 Introduction,[0.9644236556180683],"['Without any annotation, our approach can achieve performance comparable to state-of-the-art supervised models trained on a large amount of labeled data.']"
"Most notably however, our approach yields the largest benefit on the smallest data sets, comprising merely one thousand samples.",1 Introduction,[0],[0]
"This finding, counterintuitive as it may be, strongly suggests that MTL is particularly beneficial for solving the word emotion induction problem.",1 Introduction,[0],[0]
Our code base as well as the resulting experimental data is freely available.1,1 Introduction,[0],[0]
"This section introduces the emotion representation format underlying our study and describes external resources we will use for evaluation before we discuss previous methodological work.
",2 Related Work,[0],[0]
Emotion Representation and Data Sets.,2 Related Work,[0],[0]
"Psychological models of emotion can typically be subdivided into discrete (or categorical) and dimensional ones (Stevenson et al., 2007; Calvo and Mac Kim, 2013).",2 Related Work,[0],[0]
Discrete models are centered around particular sets of emotional categories considered to be fundamental.,2 Related Work,[0],[0]
"Ekman (1992), for instance, identifies six Basic Emotions (Joy, Anger, Sadness, Fear, Disgust and Surprise).
",2 Related Work,[0],[0]
"In contrast, dimensional models consider emotions to be composed of several influencing factors (mainly two or three).",2 Related Work,[0],[0]
"These are often referred to as Valence (a positive–negative scale), Arousal (a calm–excited scale), and Dominance (perceived degree of control over a (social) situation)—the VAD model (Bradley and Lang (1994); see Figure 1 for an illustration).",2 Related Work,[0],[0]
"Many contributions though omit Dominance (the VA model) (Russell, 1980).",2 Related Work,[0],[0]
"For convenience, we will still use the term “VAD” to jointly refer to both variants (with and without Dominance).
",2 Related Work,[0],[0]
"VAD is the most common framework to acquire empirical emotion values for words in psychology.
",2 Related Work,[0],[0]
"1 https://github.com/JULIELab/wordEmotions
Over the years, a considerable number of such resources (also called “emotion lexicons”) have emerged from psychological research labs (as well as some NLP labs) for diverse languages.",2 Related Work,[0],[0]
The emotion lexicons we use in our experiments are listed in Table 1.,2 Related Work,[0],[0]
An even more extensive list of such data sets is presented by Buechel and Hahn (2018).,2 Related Work,[0],[0]
"For illustration, we also provide three sample entries from one of those lexicons in Table 2.",2 Related Work,[0],[0]
"As can be seen, the three affective dimensions behave complementary to each other, e.g., “terrorism” and “orgasm” display similar Arousal but opposing Valence.
",2 Related Work,[0],[0]
"The task we address in this paper is to predict the values for Valence, Arousal and Dominance, given a lexical item.",2 Related Work,[0],[0]
"As is obvious from these examples, we consider emotion prediction as a regression, not as a classification problem (see arguments discussed in Buechel and Hahn (2016)).
",2 Related Work,[0],[0]
"In this paper, we focus on the VAD format for the following reasons: First, note that the Valence dimension exactly corresponds to polarity (Turney and Littman, 2003).",2 Related Work,[0],[0]
"Hence, with the VAD model, emotion prediction can be seen as a generalization over classical polarity prediction.",2 Related Work,[0],[0]
"Second, to the best of our knowledge, the amount and diversity of available emotion lexicons with VAD encodings is larger than for any other format (see Table 1).
",2 Related Work,[0],[0]
Word Embeddings.,2 Related Work,[0],[0]
"Word embeddings are dense, low-dimensional vector representations of words trained on large volumes of raw text in an unsupervised manner.",2 Related Work,[0],[0]
"The following are among today’s most popular embedding algorithms:
WORD2VEC (with its variants SGNS and CBOW) features an extremely trimmed down neural network (Mikolov et al., 2013).",2 Related Work,[0],[0]
"FASTTEXT is a derivative of WORD2VEC, also incorporating sub-word character n-grams (Bojanowski et al., 2017).",2 Related Work,[0],[0]
"Unlike the former two algorithms which fit word embeddings in a streaming fashion, GLOVE trains word vectors directly on a word co-occurrence matrix under the assumption to make more efficient use of word statistics (Pennington et al., 2014).",2 Related Work,[0],[0]
"Somewhat similar, SVDPPMI performs singular value decomposition on top of a point-wise mutual information co-occurrence matrix (Levy et al., 2015).
",2 Related Work,[0],[0]
"In order to increase the reproducibility of our experiments, we rely on the following widely used, publicly available embedding models trained on very large corpora (summarized in Table 3): the SGNS model trained on the Google News corpus2",2 Related Work,[0],[0]
"(GOOGLE), the FASTTEXT model trained on Common Crawl3 (COMMON), as well as the FASTTEXT models for a wide range of languages trained on the respective Wikipedias4 (WIKI).
",2 Related Work,[0],[0]
"2https://code.google.com/archive/p/ word2vec/
3https://fasttext.cc/docs/en/ english-vectors.html
4https://github.com/facebookresearch/ fastText/blob/master/pretrained-vectors.",2 Related Work,[0],[0]
"md
Note that WIKI denotes multiple embedding models with different training and vocabulary sizes (see Grave et al. (2018) for further details).",2 Related Work,[0],[0]
"Additionally, we were given the opportunity to reuse the English embedding model from Sedoc et al. (2017) (GIGA), a strongly related contribution (see below).",2 Related Work,[0],[0]
"Their embeddings were trained on the English Gigaword corpus (Parker et al., 2011).
",2 Related Work,[0],[0]
Word-Level Prediction.,2 Related Work,[0],[0]
"One of the early approaches to word polarity induction which is still popular today (Köper and Schulte im Walde, 2016) was introduced by Turney and Littman (2003).",2 Related Work,[0],[0]
"They compute the polarity of an unseen word based on its point-wise mutual information (PMI) to a set of positive and negative seed words, respectively.
",2 Related Work,[0],[0]
"SemEval-2015 Task 10E featured polarity induction on Twitter (Rosenthal et al., 2015).",2 Related Work,[0],[0]
"The best system relied on support vector regression (SVR) using a radial base function kernel (Amir et al., 2015).",2 Related Work,[0],[0]
They employ the embedding vector of the target word as features.,2 Related Work,[0],[0]
"The results of their SVR-based system were beaten by the DENSIFIER algorithm (Rothe et al., 2016).",2 Related Work,[0],[0]
"DENSIFIER learns an orthogonal transformation of an embedding space into a subspace of strongly reduced dimensionality.
",2 Related Work,[0],[0]
"Hamilton et al. (2016) developed SENTPROP, a graph-based, semi-supervised learning algorithm which builds up a word graph, where vertices correspond to words (of known as well as unknown polarity) and edge weights correspond to the similarity between them.",2 Related Work,[0],[0]
"The polarity information is then propagated through the graph, thus computing scores for unlabeled nodes.",2 Related Work,[0],[0]
"According to their evaluation, DENSIFIER seems to be superior overall, yet SENTPROP produces competitive results
only when the seed lexicon or the corpus the word embeddings are trained on is very small.5
For word emotion induction, a very similar approach to SENTPROP has been proposed by Wang et al. (2016a).",2 Related Work,[0],[0]
"They also propagate affective information (Valence and Arousal, in this case) through a word graph with similarity weighted edges.
",2 Related Work,[0],[0]
"Sedoc et al. (2017) recently proposed an approach based on signed spectral clustering where a word graph is constructed not only based on word similarity but also on the considered affective information (again, Valence and Arousal).",2 Related Work,[0],[0]
The emotion value of a target word is then computed based on the seed words in its cluster.,2 Related Work,[0],[0]
"They report to outperform the results from Wang et al. (2016a).
",2 Related Work,[0],[0]
"Contrary to the trend to graph-based methods, the best system of the IALP 2016 Shared Task on Chinese word emotion induction (Yu et al., 2016b) employed a simple feed-forward neural network (FFNN) with one hidden layer in combination with boosting (Du and Zhang, 2016).
",2 Related Work,[0],[0]
Another very recent contribution which advocates a supervised set-up was published by Li et al. (2017).,2 Related Work,[0],[0]
"They propose ridge regression, again using word embeddings as features.",2 Related Work,[0],[0]
"Even with this simple approach, they report to outperform many of the above methods in the VAD prediction task.6
Sentence-Level and Text-Level Prediction.",2 Related Work,[0],[0]
"Different from the word-level prediction task (the one we focus on in this contribution), the determination of emotion values for higher-level linguistic units (especially sentences and texts) is also heavily investigated.",2 Related Work,[0],[0]
"For this problem, DL approaches are meanwhile fully established as the method of choice (Wang et al., 2016b; Abdul-Mageed and Ungar, 2017; Felbo et al., 2017; Mohammad and Bravo-Marquez, 2017).
",2 Related Work,[0],[0]
"5Personal correspondence with William L. Hamilton; See also README at https://github.com/ williamleif/socialsent
6However, they also report extremely weak performance figures for some of their reference methods.
",2 Related Work,[0],[0]
"It is important to note, however, that the methods discussed for these higher-level units cannot easily be transferred to solve the word emotion induction problem.",2 Related Work,[0],[0]
"Sentence-level and text-level architectures are either adapted to sequential input data (typical for RNN, LSTM, GRNN and related architectures) or spatially arranged input data (as with CNN architectures).",2 Related Work,[0],[0]
"However, for word embeddings (the default input for word emotion induction) there does not seem to be any meaningful order of their components.",2 Related Work,[0],[0]
"Therefore, these more sophisticated DL methods are, for the time being, not applicable for the study at hand.",2 Related Work,[0],[0]
"In this section, we will first introduce various reference methods (two originally polarity-based for which we offer adaptations for VAD prediction) before defining our own neural MTL model and discussing its difference from previous work.
",3 Methods,[0],[0]
"Let V := {w1, w2, ..., wm} be our word vocabulary and let E := {e1, e2, ..., em} be a set of embedding vectors",3 Methods,[0],[0]
such that ei ∈ Rn denotes the ndimensional vector representation of word wi.,3 Methods,[0],[0]
"Let D := {d1, d2, ..., dl} be a set of emotional dimensions.",3 Methods,[0],[0]
Our task is to predict the empirically determined emotion vector emo(w) ∈,3 Methods,[0],[0]
Rl given a word w and the embedding space E.,3 Methods,[0],[0]
Linear Regression Baseline (LinReg).,3.1 Reference Methods,[0],[0]
"We propose (multi-variate) linear regression as an obvious baseline for the problem:
emoLR(wk) := Wek + b (1)
where W is a matrix, Wi∗ contains the regression coefficients for the i-th affective dimension and b is the vector of bias terms.",3.1 Reference Methods,[0],[0]
The model parameters are fitted using ordinary least squares.,3.1 Reference Methods,[0],[0]
"Technically, we use the scikit-learn.org implementation with default parameters.
",3.1 Reference Methods,[0],[0]
Ridge Regression (RidgReg).,3.1 Reference Methods,[0],[0]
Li et al. (2017) propose ridge regression for word emotion induction.,3.1 Reference Methods,[0],[0]
"Ridge regression works identically to linear regression during prediction, but introduces L2 regularization during training.",3.1 Reference Methods,[0],[0]
"Following the authors, for our implementation, we again use the scikit-learn implementation with default parameters.
",3.1 Reference Methods,[0],[0]
Turney-Littman Algorithm (TL).,3.1 Reference Methods,[0],[0]
"As one of the earliest contributions in the field, Turney and Littman (2003) defined a simple PMI-based approach to determine the semantic polarity SPTL of a word w: SPTL(w) := ∑
s∈seeds+ pmi(w, s)",3.1 Reference Methods,[0],[0]
"−
∑
s∈seeds− pmi(w, s)
(2) where seeds+ and seeds− are sets of positive and negative seed words, respectively.",3.1 Reference Methods,[0],[0]
"Since this algorithm is still popular today (Köper and Schulte im Walde, 2016), we here provide a novel modification for adapting this originally polarity-based approach to word emotion induction with vectorial seed and output values.
",3.1 Reference Methods,[0],[0]
"First, we replace PMI-based association of seed and target word w and s by their similarity sim based on their word embeddings ew and es:
sim(w, s) := max(0, ew · es
||ew|| × ||es|| ) (3)
emo(w) := ∑
s∈seeds+ sim(w, s)",3.1 Reference Methods,[0],[0]
"−
∑
s∈seeds− sim(w, s)
(4) Although this step is technically not required for the adaptation, it renders the TL algorithm more comparable to the other approaches evaluated in Section 4 besides from most likely increasing performance.",3.1 Reference Methods,[0],[0]
"Equation (4) can be rewritten as
emo(w) := ∑
s∈seeds sim(w, s)× emo(s) (5)
where seeds := seeds+ ∪ seeds− and emo(s) maps to 1, if s ∈ seeds+, and −1, if s ∈ seeds−.
Equation (5) can be trivially adapted to an ndimensional emotion format by redefining emo(s) such that it maps to a vector from Rn instead of {−1, 1}.",3.1 Reference Methods,[0],[0]
"Our last step is to introduce a normalization term such that emo(w)TL lies within the
range of the seed lexicon.
emoTL(w) :=
∑ s∈seeds sim(w, s)× emo(s)∑
s∈seeds sim(w, s) (6)
As can be seen from Equation (6), for the more general case of n-dimensional emotion prediction, the Turney-Littman algorithm naturally translates into a weighted average where the seed emotion values are weighted according to the similarity to the target item.
",3.1 Reference Methods,[0],[0]
Densifier.,3.1 Reference Methods,[0],[0]
"Rothe et al. (2016) train an orthogonal matrix Q ∈ Rn×n (n being the dimensionality of the word embeddings) such that applying Q to an embedding vector ei concentrates all the polarity information in its first dimension such that the polarity of a word wi can be computed as
SPDENSIFIER(wi) := pQei (7)
where p = (1, 0, 0, ..., 0)T ∈ R1×n .",3.1 Reference Methods,[0],[0]
